"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 30 14:59:25 UTC 2025","Thu Oct 30 14:59:26 UTC 2025","1051","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_valid_data[webkit]",""
"passed","Thu Oct 30 14:59:44 UTC 2025","Thu Oct 30 14:59:45 UTC 2025","460","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[firefox-weak_password-user_data4-1]",""
"passed","Thu Oct 30 14:58:58 UTC 2025","Thu Oct 30 14:59:00 UTC 2025","1979","tests.test_regression","test_auth","TestLoginLogoutFlow","","","test_user_login_state_changes[webkit]",""
"passed","Thu Oct 30 14:58:08 UTC 2025","Thu Oct 30 14:58:09 UTC 2025","815","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_user_can_navigate_to_login_from_home[firefox]",""
"passed","Thu Oct 30 14:57:34 UTC 2025","Thu Oct 30 14:57:34 UTC 2025","243","tests.test_regression","test_auth","TestLoginRegression","","","test_login_page_loading[firefox]",""
"passed","Thu Oct 30 14:58:09 UTC 2025","Thu Oct 30 14:58:11 UTC 2025","2408","tests.test_smoke","test_products","TestProductsSmoke","","","test_main_categories_accessible[firefox]",""
"passed","Thu Oct 30 14:57:49 UTC 2025","Thu Oct 30 14:57:50 UTC 2025","907","tests.test_regression","Cart Tests","TestCart","","","Empty cart message display",""
"passed","Thu Oct 30 14:59:03 UTC 2025","Thu Oct 30 14:59:03 UTC 2025","92","tests.test_regression","test_auth","TestLoginRegression","","","test_login_page_loading[webkit]",""
"passed","Thu Oct 30 14:58:35 UTC 2025","Thu Oct 30 14:58:35 UTC 2025","402","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[firefox-empty_last_name-user_data1-1]",""
"passed","Thu Oct 30 14:59:20 UTC 2025","Thu Oct 30 14:59:22 UTC 2025","1934","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","test_direct_subcategory_navigation[webkit]","Test direct navigation to specific subcategories"
"passed","Thu Oct 30 14:58:52 UTC 2025","Thu Oct 30 14:58:52 UTC 2025","104","tests.test_smoke","test_registration","TestRegistrationSmoke","","","test_registration_page_accessible_from_home[chromium]",""
"passed","Thu Oct 30 14:59:33 UTC 2025","Thu Oct 30 14:59:35 UTC 2025","1986","tests.test_regression","test_registration","TestRegistration","","","test_duplicate_email_registration[webkit]",""
"passed","Thu Oct 30 14:57:41 UTC 2025","Thu Oct 30 14:57:42 UTC 2025","591","tests.test_regression","test_auth","TestLoginRegression","","","test_forgot_password_link[firefox]",""
"passed","Thu Oct 30 14:58:48 UTC 2025","Thu Oct 30 14:58:49 UTC 2025","786","tests.test_regression","test_cart","TestCartEdgeCases","","","Product large quantity",""
"passed","Thu Oct 30 14:57:44 UTC 2025","Thu Oct 30 14:57:45 UTC 2025","1180","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_random_email[firefox]",""
"passed","Thu Oct 30 14:59:14 UTC 2025","Thu Oct 30 14:59:15 UTC 2025","806","tests.test_regression","test_cart","TestCartEdgeCases","","","Set quantity to 0",""
"passed","Thu Oct 30 14:58:13 UTC 2025","Thu Oct 30 14:58:15 UTC 2025","1609","tests.test_smoke","test_products","TestProductsSmoke","","","test_product_details_accessible[firefox]",""
"passed","Thu Oct 30 14:57:59 UTC 2025","Thu Oct 30 14:58:00 UTC 2025","983","tests.test_regression","test_registration","TestRegistrationBoundary","","","test_registration_with_long_names[firefox]",""
"passed","Thu Oct 30 14:58:29 UTC 2025","Thu Oct 30 14:58:29 UTC 2025","473","tests.test_regression","test_auth","TestLoginRegression","","","test_forgot_password_link[chromium]",""
"passed","Thu Oct 30 14:58:02 UTC 2025","Thu Oct 30 14:58:03 UTC 2025","769","tests.test_smoke","test_home_page","TestHomePage","","","test_login_link_visible[firefox]",""
"passed","Thu Oct 30 14:59:37 UTC 2025","Thu Oct 30 14:59:39 UTC 2025","2018","tests.test_smoke","test_products","TestProductsSmoke","","","test_main_categories_accessible[webkit]",""
"passed","Thu Oct 30 14:59:09 UTC 2025","Thu Oct 30 14:59:10 UTC 2025","991","tests.test_regression","Cart Tests","TestCart","","","Remove product",""
"passed","Thu Oct 30 14:58:50 UTC 2025","Thu Oct 30 14:58:51 UTC 2025","1060","tests.test_smoke","test_products","TestProductsSmoke","","","test_product_details_accessible[chromium]",""
"passed","Thu Oct 30 14:58:00 UTC 2025","Thu Oct 30 14:58:01 UTC 2025","806","tests.test_smoke","test_cart","TestCartSmoke","","","Loading cart",""
"passed","Thu Oct 30 14:57:47 UTC 2025","Thu Oct 30 14:57:49 UTC 2025","1856","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_female_gender[firefox]",""
"passed","Thu Oct 30 14:58:19 UTC 2025","Thu Oct 30 14:58:20 UTC 2025","1533","tests.test_regression","Products Tests","TestProductsBasic","","","Search products from subcategory",""
"passed","Thu Oct 30 14:58:43 UTC 2025","Thu Oct 30 14:58:43 UTC 2025","329","tests.test_smoke","test_home_page","TestHomePage","","","test_home_page_loading[chromium]",""
"passed","Thu Oct 30 14:59:29 UTC 2025","Thu Oct 30 14:59:30 UTC 2025","888","tests.test_smoke","test_home_page","TestHomePage","","","test_home_page_loading[webkit]",""
"passed","Thu Oct 30 14:59:51 UTC 2025","Thu Oct 30 14:59:52 UTC 2025","373","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[webkit-empty_email-user_data2-1]",""
"passed","Thu Oct 30 14:58:51 UTC 2025","Thu Oct 30 14:58:52 UTC 2025","1056","tests.test_regression","Products Tests","TestProductsBasic","","","Navigate to desktops subcategory",""
"passed","Thu Oct 30 14:59:40 UTC 2025","Thu Oct 30 14:59:40 UTC 2025","141","tests.test_smoke","test_registration","TestRegistrationSmoke","","","test_registration_page_accessible_from_home[webkit]",""
"failed","Thu Oct 30 14:58:37 UTC 2025","Thu Oct 30 14:58:38 UTC 2025","975","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_weak_passwords[chromium]",""
"passed","Thu Oct 30 14:59:49 UTC 2025","Thu Oct 30 14:59:50 UTC 2025","407","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[webkit-empty_last_name-user_data1-1]",""
"passed","Thu Oct 30 14:58:03 UTC 2025","Thu Oct 30 14:58:04 UTC 2025","684","tests.test_smoke","test_home_page","TestHomePage","","","test_register_link_visible[firefox]",""
"passed","Thu Oct 30 14:57:53 UTC 2025","Thu Oct 30 14:57:55 UTC 2025","1386","tests.test_regression","Cart Tests","TestCart","","","Update product quantity",""
"passed","Thu Oct 30 14:57:27 UTC 2025","Thu Oct 30 14:57:32 UTC 2025","4838","tests","test_auth_flow","","","","test_complete_auth_flow[firefox]","
Test complete authentication flow using centralized test data
"
"passed","Thu Oct 30 14:58:15 UTC 2025","Thu Oct 30 14:58:16 UTC 2025","783","tests.test_regression","Products Tests","TestProductsBasic","","","Check computers category has subcategories",""
"passed","Thu Oct 30 14:59:10 UTC 2025","Thu Oct 30 14:59:11 UTC 2025","409","tests.test_regression","test_auth","TestLoginRegression","","","test_forgot_password_link[webkit]",""
"failed","Thu Oct 30 14:57:53 UTC 2025","Thu Oct 30 14:57:54 UTC 2025","1027","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_weak_passwords[firefox]",""
"failed","Thu Oct 30 14:59:30 UTC 2025","Thu Oct 30 14:59:31 UTC 2025","898","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_weak_passwords[webkit]",""
"passed","Thu Oct 30 14:59:22 UTC 2025","Thu Oct 30 14:59:24 UTC 2025","1582","tests.test_regression","Products Tests","TestProductsBasic","","","Search products from subcategory",""
"passed","Thu Oct 30 14:58:39 UTC 2025","Thu Oct 30 14:58:40 UTC 2025","1409","tests.test_regression","test_registration","TestRegistration","","","test_duplicate_email_registration[chromium]",""
"passed","Thu Oct 30 14:59:21 UTC 2025","Thu Oct 30 14:59:22 UTC 2025","1015","tests.test_regression","Products Tests","TestProductsBasic","","","Navigate to desktops subcategory",""
"passed","Thu Oct 30 14:59:44 UTC 2025","Thu Oct 30 14:59:44 UTC 2025","227","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[chromium-empty_first_name-user_data0-1]",""
"passed","Thu Oct 30 14:57:37 UTC 2025","Thu Oct 30 14:57:38 UTC 2025","1337","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","Navigation trough subcategories","Test navigation through subcategories"
"passed","Thu Oct 30 14:59:47 UTC 2025","Thu Oct 30 14:59:47 UTC 2025","287","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[chromium-weak_password-user_data4-1]",""
"passed","Thu Oct 30 14:59:38 UTC 2025","Thu Oct 30 14:59:38 UTC 2025","641","tests.test_smoke","test_cart","TestCartSmoke","","","Loading cart",""
"passed","Thu Oct 30 14:57:35 UTC 2025","Thu Oct 30 14:57:37 UTC 2025","1240","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_invalid_credentials[firefox]",""
"passed","Thu Oct 30 14:58:45 UTC 2025","Thu Oct 30 14:58:45 UTC 2025","80","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_login_page_accessible[chromium]",""
"passed","Thu Oct 30 14:59:04 UTC 2025","Thu Oct 30 14:59:05 UTC 2025","883","tests.test_regression","Cart Tests","TestCart","","","Update product quantity",""
"passed","Thu Oct 30 14:59:33 UTC 2025","Thu Oct 30 14:59:33 UTC 2025","118","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_login_page_accessible[webkit]",""
"passed","Thu Oct 30 14:59:45 UTC 2025","Thu Oct 30 14:59:45 UTC 2025","290","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[chromium-empty_last_name-user_data1-1]",""
"passed","Thu Oct 30 14:58:26 UTC 2025","Thu Oct 30 14:58:27 UTC 2025","1642","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","test_direct_subcategory_navigation[chromium]","Test direct navigation to specific subcategories"
"passed","Thu Oct 30 14:58:45 UTC 2025","Thu Oct 30 14:58:46 UTC 2025","390","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_home_page_login_state_indicators[chromium]",""
"passed","Thu Oct 30 14:59:12 UTC 2025","Thu Oct 30 14:59:13 UTC 2025","963","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_random_email[webkit]",""
"passed","Thu Oct 30 14:59:34 UTC 2025","Thu Oct 30 14:59:34 UTC 2025","763","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_home_page_login_state_indicators[webkit]",""
"passed","Thu Oct 30 14:59:27 UTC 2025","Thu Oct 30 14:59:27 UTC 2025","608","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[firefox-empty_email-user_data2-1]",""
"passed","Thu Oct 30 14:59:20 UTC 2025","Thu Oct 30 14:59:21 UTC 2025","864","tests.test_regression","Products Tests","TestProductsBasic","","","Check computers category has subcategories",""
"passed","Thu Oct 30 14:59:19 UTC 2025","Thu Oct 30 14:59:20 UTC 2025","1020","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","Navigation trough subcategories","Test navigation through subcategories"
"passed","Thu Oct 30 14:59:39 UTC 2025","Thu Oct 30 14:59:40 UTC 2025","1216","tests.test_smoke","test_products","TestProductsSmoke","","","test_search_functionality_working[webkit]",""
"passed","Thu Oct 30 14:57:55 UTC 2025","Thu Oct 30 14:57:58 UTC 2025","2727","tests.test_regression","test_registration","TestRegistration","","","test_duplicate_email_registration[firefox]",""
"passed","Thu Oct 30 14:57:46 UTC 2025","Thu Oct 30 14:57:48 UTC 2025","2404","tests.test_regression","test_auth","TestLoginLogoutFlow","","","test_user_login_state_changes[firefox]",""
"passed","Thu Oct 30 14:59:18 UTC 2025","Thu Oct 30 14:59:19 UTC 2025","655","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","Computers category has expected subcategories","Test that computers category has expected subcategories"
"passed","Thu Oct 30 14:58:31 UTC 2025","Thu Oct 30 14:58:32 UTC 2025","1011","tests.test_regression","test_registration","TestRegistration","","","test_registration_with_female_gender[chromium]",""
"passed","Thu Oct 30 14:58:47 UTC 2025","Thu Oct 30 14:58:48 UTC 2025","1288","tests.test_smoke","test_products","TestProductsSmoke","","","test_main_categories_accessible[chromium]",""
"passed","Thu Oct 30 14:59:31 UTC 2025","Thu Oct 30 14:59:32 UTC 2025","767","tests.test_smoke","test_home_page","TestHomePage","","","test_register_link_visible[webkit]",""
"passed","Thu Oct 30 14:58:16 UTC 2025","Thu Oct 30 14:58:17 UTC 2025","1286","tests.test_regression","Products Tests","TestProductsBasic","","","Navigate to desktops subcategory",""
"passed","Thu Oct 30 14:57:35 UTC 2025","Thu Oct 30 14:57:37 UTC 2025","1457","tests.test_regression","Category Navigation Tests","TestCategoryNavigation","","","Computers category has expected subcategories","Test that computers category has expected subcategories"
"passed","Thu Oct 30 14:58:05 UTC 2025","Thu Oct 30 14:58:05 UTC 2025","134","tests.test_smoke","test_login_page","TestAuthSmoke","","","test_login_page_accessible[firefox]",""
"passed","Thu Oct 30 14:57:51 UTC 2025","Thu Oct 30 14:57:51 UTC 2025","413","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[firefox-empty_first_name-user_data0-1]",""
"passed","Thu Oct 30 14:59:46 UTC 2025","Thu Oct 30 14:59:46 UTC 2025","245","tests.test_regression","test_registration","TestRegistration","","","test_registration_validation_errors[chromium-password_mismatch-user_data3-1]",""
"passed","Thu Oct 30 14:57:42 UTC 2025","Thu Oct 30 14:57:43 UTC 2025","198","tests.test_regression","test_registration","TestRegistration","","","test_registration_page_loading[firefox]",""
"passed","Thu Oct 30 14:58:30 UTC 2025","Thu Oct 30 14:58:31 UTC 2025","664","tests.test_regression","test_auth","TestLoginRegression","","","test_login_with_random_email[chromium]",""
